Date,Comment,Like,Dislike,Clean_comment,Comment_Lower,Summary_Tokenized,Comment_no_stopwords,Comments_stem,Sentiment score,Sentiment category
"Mar 05, 2018","Hades: Honestly, I think she puts Aphrodite to shame! Aphrodite: TRIGGERED",339,1,Hades Honestly I think she puts Aphrodite to shame Aphrodite TRIGGERED,hades honestly i think she puts aphrodite to shame aphrodite triggered,"['hades', 'honestly', 'i', 'think', 'she', 'puts', 'aphrodite', 'to', 'shame', 'aphrodite', 'triggered']",hades honestly think puts aphrodite shame aphrodite triggered,hades honestly think puts aphrodite shame aphrodite trigg,-0.0258,neu
"Mar 04, 2018","""I DO NOT CARE ABOUT DEMETER'S  TAXES!""  Like if you get it 😉",214,0,I DO NOT CARE ABOUT DEMETER S TAXES Like if you get it ,i do not care about demeter s taxes like if you get it ,"['i', 'do', 'not', 'care', 'about', 'demeter', 's', 'taxes', 'like', 'if', 'you', 'get', 'it']",care demeter taxes like get,care demeter taxes like get,0.6908,pos
"Mar 04, 2018","""This orgy isn't gonna run itself"" oh my gawd...I'm dying hahahahaha",206,0,This orgy isn t gonna run itself oh my gawd I m dying hahahahaha,this orgy isn t gonna run itself oh my gawd i m dying hahahahaha,"['this', 'orgy', 'isn', 't', 'gon', 'na', 'run', 'itself', 'oh', 'my', 'gawd', 'i', 'm', 'dying', 'hahahahaha']",orgy gon na run oh gawd dying hahahahaha,orgy gon na run oh gawd dying hahahahaha,0.0,neu
"Mar 04, 2018",I'M SCREAMING AT THE 'SHORT SIGHTED' ME TOO HADES,165,0,I M SCREAMING AT THE SHORT SIGHTED ME TOO HADES,i m screaming at the short sighted me too hades,"['i', 'm', 'screaming', 'at', 'the', 'short', 'sighted', 'me', 'too', 'hades']",screaming short sighted hades,screaming short sighted had,-0.3818,neg
"Mar 18, 2018","Hades should have worn those glasses from the start. I like how Zeus and Poseidon are both like ""Finally, something that got that dead, cold heart of his beating."" =u=",128,1,Hades should have worn those glasses from the start I like how Zeus and Poseidon are both like Finally something that got that dead cold heart of his beating u,hades should have worn those glasses from the start i like how zeus and poseidon are both like finally something that got that dead cold heart of his beating u,"['hades', 'should', 'have', 'worn', 'those', 'glasses', 'from', 'the', 'start', 'i', 'like', 'how', 'zeus', 'and', 'poseidon', 'are', 'both', 'like', 'finally', 'something', 'that', 'got', 'that', 'dead', 'cold', 'heart', 'of', 'his', 'beating', 'u']",hades worn glasses start like zeus poseidon like finally something got dead cold heart beating u,hades worn glasses start like zeus poseidon like finally something got dead cold heart beating u,-0.0772,neg
"Mar 04, 2018",anyone else remeber the orginal scene of Aphrodite getting mad?,116,1,anyone else remeber the orginal scene of Aphrodite getting mad,anyone else remeber the orginal scene of aphrodite getting mad,"['anyone', 'else', 'remeber', 'the', 'orginal', 'scene', 'of', 'aphrodite', 'getting', 'mad']",anyone else remeber orginal scene aphrodite getting mad,anyone else remeber orginal scene aphrodite getting mad,-0.4939,neg
"Mar 05, 2018","BTW people... the reason why the situation is ""complicated"" is because not only is Zeus Demeter's brother, but also the father of her daughter, Persephone. LOL",117,4,BTW people the reason why the situation is complicated is because not only is Zeus Demeter s brother but also the father of her daughter Persephone LOL,btw people the reason why the situation is complicated is because not only is zeus demeter s brother but also the father of her daughter persephone lol,"['btw', 'people', 'the', 'reason', 'why', 'the', 'situation', 'is', 'complicated', 'is', 'because', 'not', 'only', 'is', 'zeus', 'demeter', 's', 'brother', 'but', 'also', 'the', 'father', 'of', 'her', 'daughter', 'persephone', 'lol']",btw people reason situation complicated zeus demeter brother also father daughter persephone lol,btw people reason situation complicated zeus demeter brother also father daughter persephone lol,0.4215,pos
"Mar 04, 2018","Does the Dicovery Squad remember how originally Hades said ""She's more beautiful that Aphrodite"" and then it zoomed into Aphrodites face while she was walking",106,3,Does the Dicovery Squad remember how originally Hades said She s more beautiful that Aphrodite and then it zoomed into Aphrodites face while she was walking,does the dicovery squad remember how originally hades said she s more beautiful that aphrodite and then it zoomed into aphrodites face while she was walking,"['does', 'the', 'dicovery', 'squad', 'remember', 'how', 'originally', 'hades', 'said', 'she', 's', 'more', 'beautiful', 'that', 'aphrodite', 'and', 'then', 'it', 'zoomed', 'into', 'aphrodites', 'face', 'while', 'she', 'was', 'walking']",dicovery squad remember originally hades said beautiful aphrodite zoomed aphrodites face walking,dicovery squad remember originally hades said beautiful aphrodite zoomed aphrodites face walk,0.5994,pos
"Mar 04, 2018","DAMN IT MUM, THIS ORGY WON'T RUN ITSELF",84,0,DAMN IT MUM THIS ORGY WON T RUN ITSELF,damn it mum this orgy won t run itself,"['damn', 'it', 'mum', 'this', 'orgy', 'won', 't', 'run', 'itself']",damn mum orgy run,damn mum orgy run,-0.4019,neg
"Jul 20, 2018","So, Zeus, Poseidon, Hades, Hera, Demeter and Hestia are siblings. Zeus married Hera. Persephone is daughter of Zeus and Demeter. Hades marries Persephone who is his niece. I swear, this gods are worser than Lanisters",80,3,So Zeus Poseidon Hades Hera Demeter and Hestia are siblings Zeus married Hera Persephone is daughter of Zeus and Demeter Hades marries Persephone who is his niece I swear this gods are worser than Lanisters,so zeus poseidon hades hera demeter and hestia are siblings zeus married hera persephone is daughter of zeus and demeter hades marries persephone who is his niece i swear this gods are worser than lanisters,"['so', 'zeus', 'poseidon', 'hades', 'hera', 'demeter', 'and', 'hestia', 'are', 'siblings', 'zeus', 'married', 'hera', 'persephone', 'is', 'daughter', 'of', 'zeus', 'and', 'demeter', 'hades', 'marries', 'persephone', 'who', 'is', 'his', 'niece', 'i', 'swear', 'this', 'gods', 'are', 'worser', 'than', 'lanisters']",zeus poseidon hades hera demeter hestia siblings zeus married hera persephone daughter zeus demeter hades marries persephone niece swear gods worser lanisters,zeus poseidon hades hera demeter hestia siblings zeus married hera persephone daughter zeus demeter hades marries persephone niece swear gods worser lanist,-0.4939,neg
"Mar 04, 2018",Well aren't Aphrodite and her son close?😂,67,0,Well aren t Aphrodite and her son close ,well aren t aphrodite and her son close ,"['well', 'aren', 't', 'aphrodite', 'and', 'her', 'son', 'close']",well aphrodite son close,well aphrodite son clos,0.2732,pos
"Mar 04, 2018",So invested in their relationship already and they.. haven't even spoken. 😂😍 Hopefully she remembers what happened! (did he bring her to his house because she felt uncomfortable/Eros drugged her?),60725,382,So invested in their relationship already and they haven t even spoken  Hopefully she remembers what happened did he bring her to his house because she felt uncomfortable Eros drugged her,so invested in their relationship already and they haven t even spoken  hopefully she remembers what happened did he bring her to his house because she felt uncomfortable eros drugged her,"['so', 'invested', 'in', 'their', 'relationship', 'already', 'and', 'they', 'haven', 't', 'even', 'spoken', 'hopefully', 'she', 'remembers', 'what', 'happened', 'did', 'he', 'bring', 'her', 'to', 'his', 'house', 'because', 'she', 'felt', 'uncomfortable', 'eros', 'drugged', 'her']",invested relationship already even spoken hopefully remembers happened bring house felt uncomfortable eros drugged,invested relationship already even spoken hopefully remembers happened bring house felt uncomfortable eros drug,0.0258,neu
"Mar 04, 2018",Your hard work has definitely paid off!! All the rework has added so much valuable information about their first meeting and the dynamic of everyone on Olympus. I'm so happy to finally see you on Discover and so glad everyone else gets to know about this great story!!!,35045,411,Your hard work has definitely paid off All the rework has added so much valuable information about their first meeting and the dynamic of everyone on Olympus I m so happy to finally see you on Discover and so glad everyone else gets to know about this great story,your hard work has definitely paid off all the rework has added so much valuable information about their first meeting and the dynamic of everyone on olympus i m so happy to finally see you on discover and so glad everyone else gets to know about this great story,"['your', 'hard', 'work', 'has', 'definitely', 'paid', 'off', 'all', 'the', 'rework', 'has', 'added', 'so', 'much', 'valuable', 'information', 'about', 'their', 'first', 'meeting', 'and', 'the', 'dynamic', 'of', 'everyone', 'on', 'olympus', 'i', 'm', 'so', 'happy', 'to', 'finally', 'see', 'you', 'on', 'discover', 'and', 'so', 'glad', 'everyone', 'else', 'gets', 'to', 'know', 'about', 'this', 'great', 'story']",hard work definitely paid rework added much valuable information first meeting dynamic everyone olympus happy finally see discover glad everyone else gets know great story,hard work definitely paid rework added much valuable information first meeting dynamic everyone olympus happy finally see discover glad everyone else gets know great stori,0.9571,pos
"Mar 04, 2018",I would feel so much better if I didn't see people flooding the first several episodes flooded with Discover comments. Yes you want to find people who were there with you while it was still in Discover but does it have to conquer all the top comments in all the recently released episodes? Sometimes newbies to the series just want to see comments related to the episode up there for once!,15174,220,I would feel so much better if I didn t see people flooding the first several episodes flooded with Discover comments Yes you want to find people who were there with you while it was still in Discover but does it have to conquer all the top comments in all the recently released episodes Sometimes newbies to the series just want to see comments related to the episode up there for once,i would feel so much better if i didn t see people flooding the first several episodes flooded with discover comments yes you want to find people who were there with you while it was still in discover but does it have to conquer all the top comments in all the recently released episodes sometimes newbies to the series just want to see comments related to the episode up there for once,"['i', 'would', 'feel', 'so', 'much', 'better', 'if', 'i', 'didn', 't', 'see', 'people', 'flooding', 'the', 'first', 'several', 'episodes', 'flooded', 'with', 'discover', 'comments', 'yes', 'you', 'want', 'to', 'find', 'people', 'who', 'were', 'there', 'with', 'you', 'while', 'it', 'was', 'still', 'in', 'discover', 'but', 'does', 'it', 'have', 'to', 'conquer', 'all', 'the', 'top', 'comments', 'in', 'all', 'the', 'recently', 'released', 'episodes', 'sometimes', 'newbies', 'to', 'the', 'series', 'just', 'want', 'to', 'see', 'comments', 'related', 'to', 'the', 'episode', 'up', 'there', 'for', 'once']",would feel much better see people flooding first several episodes flooded discover comments yes want find people still discover conquer top comments recently released episodes sometimes newbies series want see comments related episode,would feel much better see people flooding first several episodes flooded discover comments yes want find people still discover conquer top comments recently released episodes sometimes newbies series want see comments related episod,0.7906,pos
"Mar 04, 2018",Hold up. Didnt she JUST have a pixie cut? How long has she been there her hair is like goddamn rapunzel! Demeter is going to be PISSED!,1681,8,Hold up Didnt she JUST have a pixie cut How long has she been there her hair is like goddamn rapunzel Demeter is going to be PISSED,hold up didnt she just have a pixie cut how long has she been there her hair is like goddamn rapunzel demeter is going to be pissed,"['hold', 'up', 'didnt', 'she', 'just', 'have', 'a', 'pixie', 'cut', 'how', 'long', 'has', 'she', 'been', 'there', 'her', 'hair', 'is', 'like', 'goddamn', 'rapunzel', 'demeter', 'is', 'going', 'to', 'be', 'pissed']",hold didnt pixie cut long hair like goddamn rapunzel demeter going pissed,hold didnt pixie cut long hair like goddamn rapunzel demeter going piss,-0.3582,neg
"Mar 05, 2018","True Hades is depicted as kidnapping Persephone, but maybe that’s what Aphrodite want everyone to think...to ruin Hades’s prospects with Persephone. That looks like Hades’s bed, seeing the 3 headed dog in the background. Persephone will most likely come to the conclusion that Hades brought her there and raped her, this souring their relationship. Just a theory though",830,5,True Hades is depicted as kidnapping Persephone but maybe that’s what Aphrodite want everyone to think to ruin Hades’s prospects with Persephone That looks like Hades’s bed seeing the 3 headed dog in the background Persephone will most likely come to the conclusion that Hades brought her there and raped her this souring their relationship Just a theory though,true hades is depicted as kidnapping persephone but maybe that’s what aphrodite want everyone to think to ruin hades’s prospects with persephone that looks like hades’s bed seeing the 3 headed dog in the background persephone will most likely come to the conclusion that hades brought her there and raped her this souring their relationship just a theory though,"['true', 'hades', 'is', 'depicted', 'as', 'kidnapping', 'persephone', 'but', 'maybe', 'that', '’', 's', 'what', 'aphrodite', 'want', 'everyone', 'to', 'think', 'to', 'ruin', 'hades', '’', 's', 'prospects', 'with', 'persephone', 'that', 'looks', 'like', 'hades', '’', 's', 'bed', 'seeing', 'the', '3', 'headed', 'dog', 'in', 'the', 'background', 'persephone', 'will', 'most', 'likely', 'come', 'to', 'the', 'conclusion', 'that', 'hades', 'brought', 'her', 'there', 'and', 'raped', 'her', 'this', 'souring', 'their', 'relationship', 'just', 'a', 'theory', 'though']",true hades depicted kidnapping persephone maybe ’ aphrodite want everyone think ruin hades ’ prospects persephone looks like hades ’ bed seeing 3 headed dog background persephone likely come conclusion hades brought raped souring relationship theory though,true hades depicted kidnapping persephone maybe ’ aphrodite want everyone think ruin hades ’ prospects persephone looks like hades ’ bed seeing 3 headed dog background persephone likely come conclusion hades brought raped souring relationship theory though,-0.3818,neg
"Jan 18, 2019","*Too bad Artemis hates you*-to be fair, Artemis hates pretty much everyone, especially if they have a dick...",355,2,Too bad Artemis hates you to be fair Artemis hates pretty much everyone especially if they have a dick,too bad artemis hates you to be fair artemis hates pretty much everyone especially if they have a dick,"['too', 'bad', 'artemis', 'hates', 'you', 'to', 'be', 'fair', 'artemis', 'hates', 'pretty', 'much', 'everyone', 'especially', 'if', 'they', 'have', 'a', 'dick']",bad artemis hates fair artemis hates pretty much everyone especially dick,bad artemis hates fair artemis hates pretty much everyone especially dick,-0.8122,neg
"Mar 04, 2018",anyone else loves how the author changed the story a bit,346,6,anyone else loves how the author changed the story a bit,anyone else loves how the author changed the story a bit,"['anyone', 'else', 'loves', 'how', 'the', 'author', 'changed', 'the', 'story', 'a', 'bit']",anyone else loves author changed story bit,anyone else loves author changed story bit,0.5719,pos
"Mar 04, 2018",I must say this rendition of greek mythos is very nicely adapted to modern times. You still get the core concept of the tale aswell. I applaud you author-sama.,319,4,I must say this rendition of greek mythos is very nicely adapted to modern times You still get the core concept of the tale aswell I applaud you author sama,i must say this rendition of greek mythos is very nicely adapted to modern times you still get the core concept of the tale aswell i applaud you author sama,"['i', 'must', 'say', 'this', 'rendition', 'of', 'greek', 'mythos', 'is', 'very', 'nicely', 'adapted', 'to', 'modern', 'times', 'you', 'still', 'get', 'the', 'core', 'concept', 'of', 'the', 'tale', 'aswell', 'i', 'applaud', 'you', 'author', 'sama']",must say rendition greek mythos nicely adapted modern times still get core concept tale aswell applaud author sama,must say rendition greek mythos nicely adapted modern times still get core concept tale aswell applaud author sama,0.7096,pos
"Mar 04, 2018",Eros looks like the white boy in a cul de sac,260,4,Eros looks like the white boy in a cul de sac,eros looks like the white boy in a cul de sac,"['eros', 'looks', 'like', 'the', 'white', 'boy', 'in', 'a', 'cul', 'de', 'sac']",eros looks like white boy cul de sac,eros looks like white boy cul de sac,0.3612,pos
"Jul 18, 2018",We got Eros over here looking like a basic white boy,223,3,We got Eros over here looking like a basic white boy,we got eros over here looking like a basic white boy,"['we', 'got', 'eros', 'over', 'here', 'looking', 'like', 'a', 'basic', 'white', 'boy']",got eros looking like basic white boy,got eros looking like basic white boy,0.3612,pos
"Sep 30, 2018","Wow. Has anyone else noticed how cute Hades is with glasses? Also I aready love the brothers. Posiden is the cute dummy, Zeus is the sly smooth talker and Hades is the loner.",168,0,Wow Has anyone else noticed how cute Hades is with glasses Also I aready love the brothers Posiden is the cute dummy Zeus is the sly smooth talker and Hades is the loner,wow has anyone else noticed how cute hades is with glasses also i aready love the brothers posiden is the cute dummy zeus is the sly smooth talker and hades is the loner,"['wow', 'has', 'anyone', 'else', 'noticed', 'how', 'cute', 'hades', 'is', 'with', 'glasses', 'also', 'i', 'aready', 'love', 'the', 'brothers', 'posiden', 'is', 'the', 'cute', 'dummy', 'zeus', 'is', 'the', 'sly', 'smooth', 'talker', 'and', 'hades', 'is', 'the', 'loner']",wow anyone else noticed cute hades glasses also aready love brothers posiden cute dummy zeus sly smooth talker hades loner,wow anyone else noticed cute hades glasses also aready love brothers posiden cute dummy zeus sly smooth talker hades lon,0.9325,pos
"Mar 29, 2018",Poseidon casually sipping his beer while Hades oozes angst beside him is a mood tbh,145,1,Poseidon casually sipping his beer while Hades oozes angst beside him is a mood tbh,poseidon casually sipping his beer while hades oozes angst beside him is a mood tbh,"['poseidon', 'casually', 'sipping', 'his', 'beer', 'while', 'hades', 'oozes', 'angst', 'beside', 'him', 'is', 'a', 'mood', 'tbh']",poseidon casually sipping beer hades oozes angst beside mood tbh,poseidon casually sipping beer hades oozes angst beside mood tbh,0.1779,pos
"Mar 04, 2018",ITS SO ODD TO ME THAT SOME PEOPLE HAVE NO KNOWLEDGE OF THIS WEBTOON AND THE FEELS IT HOLDS. HOLD ON TO YOUR HATS KIDDIES. WE GOIN ON A RIDE.,123,10,ITS SO ODD TO ME THAT SOME PEOPLE HAVE NO KNOWLEDGE OF THIS WEBTOON AND THE FEELS IT HOLDS HOLD ON TO YOUR HATS KIDDIES WE GOIN ON A RIDE,its so odd to me that some people have no knowledge of this webtoon and the feels it holds hold on to your hats kiddies we goin on a ride,"['its', 'so', 'odd', 'to', 'me', 'that', 'some', 'people', 'have', 'no', 'knowledge', 'of', 'this', 'webtoon', 'and', 'the', 'feels', 'it', 'holds', 'hold', 'on', 'to', 'your', 'hats', 'kiddies', 'we', 'goin', 'on', 'a', 'ride']",odd people knowledge webtoon feels holds hold hats kiddies goin ride,odd people knowledge webtoon feels holds hold hats kiddies goin rid,-0.3182,neg
"Mar 04, 2018",NOOO I NEED TO PROTECT MY PERSEPHONE 😭😭😭,109,1,NOOO I NEED TO PROTECT MY PERSEPHONE ,nooo i need to protect my persephone ,"['nooo', 'i', 'need', 'to', 'protect', 'my', 'persephone']",nooo need protect persephone,nooo need protect persephon,0.3818,pos
"Mar 05, 2018",I missed this Webtoon more than Narcissus misses his reflection I'M SO HAPPY IT'S BACK!!!!! 🌹🌻🌼🌸,74,1,I missed this Webtoon more than Narcissus misses his reflection I M SO HAPPY IT S BACK ,i missed this webtoon more than narcissus misses his reflection i m so happy it s back ,"['i', 'missed', 'this', 'webtoon', 'more', 'than', 'narcissus', 'misses', 'his', 'reflection', 'i', 'm', 'so', 'happy', 'it', 's', 'back']",missed webtoon narcissus misses reflection happy back,missed webtoon narcissus misses reflection happy back,0.1531,pos
"Nov 07, 2019",And no one talks about that Persephone is Zeus's daughter and he was trying to distract his other daughter so than his brother could hook up with her... Greek mythology is the weirdest dude,68,1,And no one talks about that Persephone is Zeus s daughter and he was trying to distract his other daughter so than his brother could hook up with her Greek mythology is the weirdest dude,and no one talks about that persephone is zeus s daughter and he was trying to distract his other daughter so than his brother could hook up with her greek mythology is the weirdest dude,"['and', 'no', 'one', 'talks', 'about', 'that', 'persephone', 'is', 'zeus', 's', 'daughter', 'and', 'he', 'was', 'trying', 'to', 'distract', 'his', 'other', 'daughter', 'so', 'than', 'his', 'brother', 'could', 'hook', 'up', 'with', 'her', 'greek', 'mythology', 'is', 'the', 'weirdest', 'dude']",one talks persephone zeus daughter trying distract daughter brother could hook greek mythology weirdest dude,one talks persephone zeus daughter trying distract daughter brother could hook greek mythology weirdest dud,-0.6249,neg
"Mar 05, 2018",the portrait of the three-headed dog is Cerberus... guardian of the realm of Hades... Aphrodite is very cunning,60,0,the portrait of the three headed dog is Cerberus guardian of the realm of Hades Aphrodite is very cunning,the portrait of the three headed dog is cerberus guardian of the realm of hades aphrodite is very cunning,"['the', 'portrait', 'of', 'the', 'three', 'headed', 'dog', 'is', 'cerberus', 'guardian', 'of', 'the', 'realm', 'of', 'hades', 'aphrodite', 'is', 'very', 'cunning']",portrait three headed dog cerberus guardian realm hades aphrodite cunning,portrait three headed dog cerberus guardian realm hades aphrodite cun,0.0,neu
"Apr 05, 2019",I hope the reason Artemis hates Hades has something to do with her being a cat person 😂 Did Cerberus chase someone up a tree?,43,0,I hope the reason Artemis hates Hades has something to do with her being a cat person  Did Cerberus chase someone up a tree,i hope the reason artemis hates hades has something to do with her being a cat person  did cerberus chase someone up a tree,"['i', 'hope', 'the', 'reason', 'artemis', 'hates', 'hades', 'has', 'something', 'to', 'do', 'with', 'her', 'being', 'a', 'cat', 'person', 'did', 'cerberus', 'chase', 'someone', 'up', 'a', 'tree']",hope reason artemis hates hades something cat person cerberus chase someone tree,hope reason artemis hates hades something cat person cerberus chase someone tre,0.0,neu
"Mar 04, 2018",is she not that girl that had to spend half a year with Hades an half with her mother am. ot that good with name but i don't no why everbody don't like him he's a good guy an thanatos if yall know who that  is,41,0,is she not that girl that had to spend half a year with Hades an half with her mother am ot that good with name but i don t no why everbody don t like him he s a good guy an thanatos if yall know who that is,is she not that girl that had to spend half a year with hades an half with her mother am ot that good with name but i don t no why everbody don t like him he s a good guy an thanatos if yall know who that is,"['is', 'she', 'not', 'that', 'girl', 'that', 'had', 'to', 'spend', 'half', 'a', 'year', 'with', 'hades', 'an', 'half', 'with', 'her', 'mother', 'am', 'ot', 'that', 'good', 'with', 'name', 'but', 'i', 'don', 't', 'no', 'why', 'everbody', 'don', 't', 'like', 'him', 'he', 's', 'a', 'good', 'guy', 'an', 'thanatos', 'if', 'yall', 'know', 'who', 'that', 'is']",girl spend half year hades half mother ot good name everbody like good guy thanatos yall know,girl spend half year hades half mother ot good name everbody like good guy thanatos yall know,0.8074,pos
"Mar 05, 2018","she's in the underworld! Cerberus' picture is in the background! oh yeah, Cerberus means spot btw.",37,0,she s in the underworld Cerberus picture is in the background oh yeah Cerberus means spot btw,she s in the underworld cerberus picture is in the background oh yeah cerberus means spot btw,"['she', 's', 'in', 'the', 'underworld', 'cerberus', 'picture', 'is', 'in', 'the', 'background', 'oh', 'yeah', 'cerberus', 'means', 'spot', 'btw']",underworld cerberus picture background oh yeah cerberus means spot btw,underworld cerberus picture background oh yeah cerberus means spot btw,0.296,pos
"Mar 02, 2021",Who else is coming back to reread this from the most recent episode,29,0,Who else is coming back to reread this from the most recent episode,who else is coming back to reread this from the most recent episode,"['who', 'else', 'is', 'coming', 'back', 'to', 'reread', 'this', 'from', 'the', 'most', 'recent', 'episode']",else coming back reread recent episode,else coming back reread recent episod,0.0,neu
"Mar 08, 2018",who else thought for a sec that Eros was trying to make out with Persephone,28,0,who else thought for a sec that Eros was trying to make out with Persephone,who else thought for a sec that eros was trying to make out with persephone,"['who', 'else', 'thought', 'for', 'a', 'sec', 'that', 'eros', 'was', 'trying', 'to', 'make', 'out', 'with', 'persephone']",else thought sec eros trying make persephone,else thought sec eros trying make persephon,0.0,neu
"Mar 11, 2018",❤️ Hades is such a gentleman😢,172504,352,️ Hades is such a gentleman,️ hades is such a gentleman,"['️', 'hades', 'is', 'such', 'a', 'gentleman']",️ hades gentleman,️ hades gentleman,0.0,neu
"Mar 11, 2018","If this is following the myth of Eros and Pysche, it sucks that he hasn't been reunited with her..",78807,441,If this is following the myth of Eros and Pysche it sucks that he hasn t been reunited with her,if this is following the myth of eros and pysche it sucks that he hasn t been reunited with her,"['if', 'this', 'is', 'following', 'the', 'myth', 'of', 'eros', 'and', 'pysche', 'it', 'sucks', 'that', 'he', 'hasn', 't', 'been', 'reunited', 'with', 'her']",following myth eros pysche sucks reunited,following myth eros pysche sucks reunit,-0.3612,neg
"Mar 11, 2018",“She’s the personification of a cinnamon roll. A pink cinnamon roll.” Eros is one of the fandom,36913,74,“She’s the personification of a cinnamon roll A pink cinnamon roll ” Eros is one of the fandom,“she’s the personification of a cinnamon roll a pink cinnamon roll ” eros is one of the fandom,"['“', 'she', '’', 's', 'the', 'personification', 'of', 'a', 'cinnamon', 'roll', 'a', 'pink', 'cinnamon', 'roll', '”', 'eros', 'is', 'one', 'of', 'the', 'fandom']",“ ’ personification cinnamon roll pink cinnamon roll ” eros one fandom,“ ’ personification cinnamon roll pink cinnamon roll ” eros one fandom,0.0,neu
"Mar 11, 2018","People wonder why Aphrodite doesn't like the sweet cinnamon roll known as Persephone, I say that it's because she's made of SALTY sea foam!..... Okay, I leave.",2914,5,People wonder why Aphrodite doesn t like the sweet cinnamon roll known as Persephone I say that it s because she s made of SALTY sea foam Okay I leave,people wonder why aphrodite doesn t like the sweet cinnamon roll known as persephone i say that it s because she s made of salty sea foam okay i leave,"['people', 'wonder', 'why', 'aphrodite', 'doesn', 't', 'like', 'the', 'sweet', 'cinnamon', 'roll', 'known', 'as', 'persephone', 'i', 'say', 'that', 'it', 's', 'because', 'she', 's', 'made', 'of', 'salty', 'sea', 'foam', 'okay', 'i', 'leave']",people wonder aphrodite like sweet cinnamon roll known persephone say made salty sea foam okay leave,people wonder aphrodite like sweet cinnamon roll known persephone say made salty sea foam okay leav,0.7506,pos
"Mar 11, 2018",“WHY ARE YOU JEALOUS OF A CINNAMON-ROLL?!” Best. Line. Ever.,2551,4,“WHY ARE YOU JEALOUS OF A CINNAMON ROLL ” Best Line Ever,“why are you jealous of a cinnamon roll ” best line ever,"['“', 'why', 'are', 'you', 'jealous', 'of', 'a', 'cinnamon', 'roll', '”', 'best', 'line', 'ever']",“ jealous cinnamon roll ” best line ever,“ jealous cinnamon roll ” best line ev,0.296,pos
"Mar 11, 2018","Hades is the only god I like in Greek Mythology. All the other Gods raped, stole, killed, but Hades basically just did his damn job.",1998,8,Hades is the only god I like in Greek Mythology All the other Gods raped stole killed but Hades basically just did his damn job,hades is the only god i like in greek mythology all the other gods raped stole killed but hades basically just did his damn job,"['hades', 'is', 'the', 'only', 'god', 'i', 'like', 'in', 'greek', 'mythology', 'all', 'the', 'other', 'gods', 'raped', 'stole', 'killed', 'but', 'hades', 'basically', 'just', 'did', 'his', 'damn', 'job']",hades god like greek mythology gods raped stole killed hades basically damn job,hades god like greek mythology gods raped stole killed hades basically damn job,-0.8481,neg
"Mar 11, 2018","See, even Eros knows about how much of a cinnamon roll she is.",1459,2,See even Eros knows about how much of a cinnamon roll she is,see even eros knows about how much of a cinnamon roll she is,"['see', 'even', 'eros', 'knows', 'about', 'how', 'much', 'of', 'a', 'cinnamon', 'roll', 'she', 'is']",see even eros knows much cinnamon roll,see even eros knows much cinnamon rol,0.0,neu
"Mar 11, 2018",Aphrodite: the pettiest goddess on Olympus. Persephone: a pink adorable cinnamonroll.,1378,7,Aphrodite the pettiest goddess on Olympus Persephone a pink adorable cinnamonroll,aphrodite the pettiest goddess on olympus persephone a pink adorable cinnamonroll,"['aphrodite', 'the', 'pettiest', 'goddess', 'on', 'olympus', 'persephone', 'a', 'pink', 'adorable', 'cinnamonroll']",aphrodite pettiest goddess olympus persephone pink adorable cinnamonroll,aphrodite pettiest goddess olympus persephone pink adorable cinnamonrol,0.2263,pos
"Mar 11, 2018","""I might be a lot of things but I ain't no snitch"" Hades must be hella fun to hang out with. EDIT:ur mum gay lol",1055,18,I might be a lot of things but I ain t no snitch Hades must be hella fun to hang out with EDIT ur mum gay lol,i might be a lot of things but i ain t no snitch hades must be hella fun to hang out with edit ur mum gay lol,"['i', 'might', 'be', 'a', 'lot', 'of', 'things', 'but', 'i', 'ain', 't', 'no', 'snitch', 'hades', 'must', 'be', 'hella', 'fun', 'to', 'hang', 'out', 'with', 'edit', 'ur', 'mum', 'gay', 'lol']",might lot things snitch hades must hella fun hang edit ur mum gay lol,might lot things snitch hades must hella fun hang edit ur mum gay lol,0.7501,pos
"Mar 11, 2018","Goodness, Hades has to be one of the best gentlemen in all of Webtoons. He’s seriously raising the standards for male romance leads, XD",933,4,Goodness Hades has to be one of the best gentlemen in all of Webtoons He’s seriously raising the standards for male romance leads XD,goodness hades has to be one of the best gentlemen in all of webtoons he’s seriously raising the standards for male romance leads xd,"['goodness', 'hades', 'has', 'to', 'be', 'one', 'of', 'the', 'best', 'gentlemen', 'in', 'all', 'of', 'webtoons', 'he', '’', 's', 'seriously', 'raising', 'the', 'standards', 'for', 'male', 'romance', 'leads', 'xd']",goodness hades one best gentlemen webtoons ’ seriously raising standards male romance leads xd,goodness hades one best gentlemen webtoons ’ seriously raising standards male romance leads xd,0.9313,pos
"Mar 11, 2018","Okay, let’s talk about consent and how Hades follows it! She’s drunk and he doesn’t take advantage of her! TAKE NOTES PEOPLE. TAKE NOTES.",879,4,Okay let’s talk about consent and how Hades follows it She’s drunk and he doesn’t take advantage of her TAKE NOTES PEOPLE TAKE NOTES,okay let’s talk about consent and how hades follows it she’s drunk and he doesn’t take advantage of her take notes people take notes,"['okay', 'let', '’', 's', 'talk', 'about', 'consent', 'and', 'how', 'hades', 'follows', 'it', 'she', '’', 's', 'drunk', 'and', 'he', 'doesn', '’', 't', 'take', 'advantage', 'of', 'her', 'take', 'notes', 'people', 'take', 'notes']",okay let ’ talk consent hades follows ’ drunk ’ take advantage take notes people take notes,okay let ’ talk consent hades follows ’ drunk ’ take advantage take notes people take not,0.34,pos
